,model_class,index,features
0,Net2,0,"[[1.721707820892334, 5.971209526062012, 1.721707820892334, 5.971209526062012]]"
1,Net2,1,"[[1.6389719247817993, 5.965633869171143, 1.6389719247817993, 5.965633869171143]]"
2,Net2,2,"[[1.764042854309082, 5.990348815917969, 1.764042854309082, 5.990348815917969]]"
3,Net2,3,"[[1.718245029449463, 5.933979034423828, 1.718245029449463, 5.933979034423828]]"
4,Net2,4,"[[1.7451198101043701, 5.94130277633667, 1.7451198101043701, 5.94130277633667]]"
5,Net2,5,"[[1.7899811267852783, 5.976960182189941, 1.7899811267852783, 5.976960182189941]]"
6,Net2,6,"[[1.7578144073486328, 5.947530746459961, 1.7578144073486328, 5.947530746459961]]"
7,Net2,7,"[[1.693189024925232, 5.983615398406982, 1.693189024925232, 5.983615398406982]]"
8,Net7,0,"[[1.4918556213378906, 5.934718608856201, 1.4918556213378906, 5.934718608856201]]"
9,Net7,1,"[[1.5322847366333008, 5.942862033843994, 1.5322847366333008, 5.942862033843994]]"
10,Net7,2,"[[1.5172696113586426, 5.9131903648376465, 1.5172696113586426, 5.9131903648376465]]"
11,Net6,0,"[[1.4951467514038086, 5.906189918518066, 1.4951467514038086, 5.906189918518066]]"
12,Net6,1,"[[1.5150669813156128, 5.897146701812744, 1.5150669813156128, 5.897146701812744]]"
13,Net6,2,"[[1.477070689201355, 5.935813903808594, 1.477070689201355, 5.935813903808594]]"
14,Net6,3,"[[1.5279325246810913, 5.941538333892822, 1.5279325246810913, 5.941538333892822]]"
15,Net6,4,"[[1.4728244543075562, 5.9390950202941895, 1.4728244543075562, 5.9390950202941895]]"
16,Net5,0,"[[1.4824482202529907, 5.90338659286499, 1.4824482202529907, 5.90338659286499]]"
17,Net5,1,"[[1.5263429880142212, 5.927964687347412, 1.5263429880142212, 5.927964687347412]]"
18,Net5,2,"[[1.6078301668167114, 5.94793701171875, 1.6078301668167114, 5.94793701171875]]"
19,Net5,3,"[[1.4874598979949951, 5.923700332641602, 1.4874598979949951, 5.923700332641602]]"
20,Net5,4,"[[1.5711742639541626, 5.962419033050537, 1.5711742639541626, 5.962419033050537]]"
21,Net5,5,"[[1.5154128074645996, 5.9394426345825195, 1.5154128074645996, 5.9394426345825195]]"
22,Net5,6,"[[1.5125643014907837, 5.932376384735107, 1.5125643014907837, 5.932376384735107]]"
23,Net5,7,"[[1.551591157913208, 5.925036430358887, 1.551591157913208, 5.925036430358887]]"
24,Net5,8,"[[1.4829685688018799, 5.896621227264404, 1.4829685688018799, 5.896621227264404]]"
25,Net5,9,"[[1.5788761377334595, 5.9301533699035645, 1.5788761377334595, 5.9301533699035645]]"
26,Net5,10,"[[1.4823983907699585, 5.87733793258667, 1.4823983907699585, 5.87733793258667]]"
27,Net5,11,"[[1.4582523107528687, 5.9096455574035645, 1.4582523107528687, 5.9096455574035645]]"
28,Net5,12,"[[1.534447431564331, 5.935248374938965, 1.534447431564331, 5.935248374938965]]"
29,Net5,13,"[[1.5534048080444336, 5.944629192352295, 1.5534048080444336, 5.944629192352295]]"
30,Net5,14,"[[1.5383113622665405, 5.91749382019043, 1.5383113622665405, 5.91749382019043]]"
31,Net5,15,"[[1.6040747165679932, 5.975071430206299, 1.6040747165679932, 5.975071430206299]]"
32,Net5,16,"[[1.487561821937561, 5.902663230895996, 1.487561821937561, 5.902663230895996]]"
33,Net4,0,"[[1.547831654548645, 5.937337875366211, 1.547831654548645, 5.937337875366211]]"
34,Net4,1,"[[1.5744822025299072, 5.923319339752197, 1.5744822025299072, 5.923319339752197]]"
35,Net4,2,"[[1.5122829675674438, 5.901071548461914, 1.5122829675674438, 5.901071548461914]]"
36,Net4,3,"[[1.6136727333068848, 5.926106929779053, 1.6136727333068848, 5.926106929779053]]"
37,Net4,4,"[[1.552215576171875, 5.922370910644531, 1.552215576171875, 5.922370910644531]]"
38,Net4,5,"[[1.5605199337005615, 5.914673805236816, 1.5605199337005615, 5.914673805236816]]"
39,Net3,0,"[[1.671639084815979, 5.974862098693848, 1.671639084815979, 5.974862098693848]]"
40,Net3,1,"[[1.568851351737976, 5.915269374847412, 1.568851351737976, 5.915269374847412]]"
41,Net3,2,"[[1.5509634017944336, 5.915767669677734, 1.5509634017944336, 5.915767669677734]]"
42,Net3,3,"[[1.688651204109192, 6.0300164222717285, 1.688651204109192, 6.0300164222717285]]"
43,Net3,4,"[[1.6426647901535034, 6.007843494415283, 1.6426647901535034, 6.007843494415283]]"
44,Net3,5,"[[1.6617717742919922, 5.964102268218994, 1.6617717742919922, 5.964102268218994]]"
45,Net3,6,"[[1.6216729879379272, 5.975562572479248, 1.6216729879379272, 5.975562572479248]]"
46,Net3,7,"[[1.696276307106018, 5.9232378005981445, 1.696276307106018, 5.9232378005981445]]"
47,Net2r,0,"[[1.9835107326507568, 6.074787616729736, 1.9835107326507568, 6.074787616729736]]"
48,Net2r,1,"[[1.9749135971069336, 6.051952362060547, 1.9749135971069336, 6.051952362060547]]"
49,Net2r,2,"[[1.9574602842330933, 6.063851833343506, 1.9574602842330933, 6.063851833343506]]"
50,Net2r,3,"[[1.9501193761825562, 6.05543851852417, 1.9501193761825562, 6.05543851852417]]"
51,Net2r,4,"[[1.9641034603118896, 6.075743675231934, 1.9641034603118896, 6.075743675231934]]"
52,Net2r,5,"[[1.9523744583129883, 6.013941287994385, 1.9523744583129883, 6.013941287994385]]"
